,name,existence,Gas,Electricity,water
88,Columbus Water Works,1.0,,,Columbus Water Works
89,ConEdison Solutions,1.0,,,
90,Connexus Energy,1.0,,,
91,Consolidated Edison,1.0,,,
92,Consolidated Electric Co Op,1.0,,Consolidated Electric Co Op,
93,Consolidated Mutual Water Co.,1.0,,,Consolidated Mutual Water Co.
94,Constellation,1.0,,,
95,Consumers Energy,1.0,,,
96,Contra Costa Water District,1.0,,,Contra Costa Water District
97,Coosa Valley Electric Cooperative,1.0,,Coosa Valley Electric Cooperative,
98,Coos-Curry Electric Cooperative,1.0,,Coos-Curry Electric Cooperative,
99,Cordish Power Plant,1.0,,,
100,Corn Belt Power Co-Op,1.0,,,
101,Cotton Electric Co-Op,1.0,,Cotton Electric Co-Op,
102,CPS Energy,1.0,,,
103,Crec,1.0,,,
104,Cucamonga Valley Water Dist,1.0,,,Cucamonga Valley Water Dist
105,Dakota Electric Association,1.0,,Dakota Electric Association,
106,Davidson Metro Water Service,1.0,,,Davidson Metro Water Service
107,Davidson Water,1.0,,,Davidson Water
108,Del-Co Water Co.,1.0,,,Del-Co Water Co.
109,Denair Community Services District,1.0,,,
110,Desert Water Agency,1.0,,,Desert Water Agency
111,Dickson Electric System,1.0,,Dickson Electric System,
112,Digital Foundry,1.0,,,
113,Direct Energy,1.0,,,
114,Diverse Power,1.0,,,
115,Dixie Electric Power Association,1.0,,Dixie Electric Power Association,
116,Doleac Electric Co.,1.0,,Doleac Electric Co.,
117,Dominion Resources,1.0,,,
118,Dte Energy,1.0,,,
119,Duck River Electric Membership,1.0,,Duck River Electric Membership,
120,Duke Energy,1.0,,,
121,E Light Electric Services,1.0,,E Light Electric Services,
122,East Bay Municipal Utility District,1.0,,,
123,East Kentucky Power Co-Op,1.0,,,
124,East Mississippi Electric Power Assn,1.0,,East Mississippi Electric Power Assn,
125,East Orange County Water District,1.0,,,East Orange County Water District
126,East River Electric Power Cooperative,1.0,,East River Electric Power Cooperative,
127,East Valley Water District,1.0,,,East Valley Water District
128,Eastern Propane & Oil,1.0,Eastern Propane & Oil,,
129,El Paso Water Utilities,1.0,,,El Paso Water Utilities
130,El Toro Water District,1.0,,,El Toro Water District
131,Elk River Public Utility District,1.0,,,
132,Elmira Water Board,1.0,,,Elmira Water Board
133,Elsinore Valley Municipal Water District,1.0,,,Elsinore Valley Municipal Water District
134,Enstar Natural Gas Company,1.0,Enstar Natural Gas Company,,
135,EQT Plaza,1.0,,,
136,Erwin Utilities,1.0,,,
137,Eugene Water & Electric Board,1.0,,Eugene Water & Electric Board,Eugene Water & Electric Board
138,Farmers Feed and Seed,1.0,,,
139,Fayetteville Public Utilities,1.0,,,
140,Fingerprint Services Of America,1.0,,,
141,First Electric Cooperative,1.0,,First Electric Cooperative,
142,First Utility Dist Of Knox County,1.0,,,
143,Florida Keys Aqueduct Authority,1.0,,,
144,Frankfort Plant Board,1.0,,,
145,Franklin Pud,1.0,,,
146,Fulton County Remc,1.0,,,
147,Garden City Rental,1.0,,,
148,Gas South,1.0,Gas South,,
149,Gas Works,1.0,Gas Works,,
150,Georgia Power Company,1.0,,,
151,Gibson Electric Membership,1.0,,Gibson Electric Membership,
152,Glendale Water & Power,1.0,,,Glendale Water & Power
153,Golden Valley Electric Association,1.0,,Golden Valley Electric Association,
154,Good Energy,1.0,,,
155,Great Lakes Energy,1.0,,,
156,Great River Energy,1.0,,,
157,Greenville Water System,1.0,,,Greenville Water System
158,Greer Commission Of Public Works,1.0,,,
159,Greystone Power Corporation,1.0,,,
160,Griffis Gas,1.0,Griffis Gas,,
161,Gulf Coast Electric Cooperative,1.0,,Gulf Coast Electric Cooperative,
162,H2O Distributors,1.0,,,
163,Hardin County Water District 2,1.0,,,Hardin County Water District 2
164,Hardin County Water District No 1,1.0,,,Hardin County Water District No 1
165,Harlingen Waterworks System,1.0,,,Harlingen Waterworks System
166,Harriman Utility Board,1.0,,,
167,Harrisonburg Electric Commission,1.0,,Harrisonburg Electric Commission,
168,Hart EMC,1.0,,,
169,Harvest-Monrovia Water Authority,1.0,,,Harvest-Monrovia Water Authority
170,Hazardville Water Company,1.0,,,Hazardville Water Company
171,Hd Fowler Company,1.0,,,
172,Henry County REMC,1.0,,,
173,Henry County Water & Sewerage Authority,1.0,,,Henry County Water & Sewerage Authority
174,Hilco Electric Cooperative,1.0,,Hilco Electric Cooperative,
175,Hino Electric Power Company,1.0,,Hino Electric Power Company,
176,Hixson Utility District,1.0,,,
177,Holley-Navarre Water System,1.0,,,Holley-Navarre Water System
178,Holy Cross Energy,1.0,,,
179,Homer Electric Association,1.0,,Homer Electric Association,
180,Hope Water & Light,1.0,,,Hope Water & Light
181,Hudson Station,1.0,,,
182,Imperial Irrigation District,1.0,,,Imperial Irrigation District
183,Independent Energy Solutions,1.0,,,
184,Indianapolis Power & Light Co.,1.0,,,
185,Inland Empire Utilities Agency,1.0,,,
186,Inter-County Energy,1.0,,,
187,Irwin Emc,1.0,,,
188,Ising's Culligan Water,1.0,,,Ising's Culligan Water
189,Jackson Electric Membership,1.0,,Jackson Electric Membership,
190,Jackson Energy Authority,1.0,,,
191,Jackson Purchase Energy,1.0,,,
192,Jea,1.0,,,
193,Jefferson Davis Electric Co-Op,1.0,,Jefferson Davis Electric Co-Op,
194,Joe's Electrical Company,1.0,,Joe's Electrical Company,
195,Johnston Gas,1.0,Johnston Gas,,
196,Jordan Valley Water Conservancy District,1.0,,,Jordan Valley Water Conservancy District
197,Kansas City Board of Public Utilities,1.0,,,
198,Kansas City Power & Light District,1.0,,,
199,Kauai Island Utility Cooperative,1.0,,,
200,Kaukauna Utilities,1.0,,,
201,Kaw Valley Electric,1.0,,Kaw Valley Electric,
202,Kenergy,1.0,,,
203,Kentucky American Water Co.,1.0,,,Kentucky American Water Co.
204,Kerrville Public Utility Board,1.0,,,
205,Kissimmee Utility Authority,1.0,,,
206,Kit Carson Electric Cooperative,1.0,,Kit Carson Electric Cooperative,
207,Kitsap Public Utility District,1.0,,,
208,Kootenai Electric Cooperative,1.0,,Kootenai Electric Cooperative,
209,La Plata Electric Association,1.0,,La Plata Electric Association,
210,Laclede Gas Company,1.0,Laclede Gas Company,,
211,Lafollette Utilities Board,1.0,,,
212,Laguna Beach County Water District,1.0,,,Laguna Beach County Water District
213,Lake Apopka Natural Gas District,1.0,Lake Apopka Natural Gas District,,
214,Lake Region Electric Cooperative,1.0,,Lake Region Electric Cooperative,
215,Lakeview Light & Power,1.0,,,
216,Lansing Board of Water and Light,1.0,,,Lansing Board of Water and Light
217,Las Vegas Valley Water District,1.0,Las Vegas Valley Water District,,Las Vegas Valley Water District
218,Lcra,1.0,,,
219,Lebanon Utilities,1.0,,,
220,Leicester Supply Co,1.0,,,
221,Lenoir City Utilities Board,1.0,,,
222,Lexington Electric System,1.0,,Lexington Electric System,
223,Lincoln Electric System,1.0,,Lincoln Electric System,
224,London Utility Commission,1.0,,,
225,Loup Power District,1.0,,,
226,Lyon Coffey Electric Coop,1.0,,Lyon Coffey Electric Coop,
227,Macon Water Authority,1.0,,,Macon Water Authority
228,Madison Gas & Electric,1.0,Madison Gas & Electric,Madison Gas & Electric,
229,Magic Valley Electric Co-Op,1.0,,Magic Valley Electric Co-Op,
230,Marietta Power & Water,1.0,,,Marietta Power & Water
231,Marin Municipal Water District,1.0,,,Marin Municipal Water District
232,Marquette Board of Light & Power,1.0,,,
233,Marshall County Remc,1.0,,,
234,Matanuska Electric Association,1.0,,Matanuska Electric Association,
235,Mat-Su Water,1.0,,,Mat-Su Water
236,Maui Electric Co.,1.0,,Maui Electric Co.,
237,McDonough Power Cooperative Office,1.0,,,
238,McKenzie Electric Cooperative,1.0,,McKenzie Electric Cooperative,
239,McMinnville Water & Light,1.0,,,McMinnville Water & Light
240,Memphis Light Gas and Water,1.0,Memphis Light Gas and Water,,Memphis Light Gas and Water
241,Meridian Solar,1.0,,,
242,Mesa Consolidated Water District,1.0,,,Mesa Consolidated Water District
243,Metropolitan District,1.0,,,
244,Metropolitan Utilities District,1.0,,,
245,Metropolitan Water District,1.0,,,Metropolitan Water District
246,Metropolitan Water District Of Southern California,1.0,,,Metropolitan Water District Of Southern California
247,Michigan Equipment Rental & Sales,1.0,,,
248,Mid Peninsula Water District,1.0,,,Mid Peninsula Water District
249,Middle Tennessee Electric,1.0,,Middle Tennessee Electric,
250,Middleboro Gas & Electric Department,1.0,Middleboro Gas & Electric Department,Middleboro Gas & Electric Department,
251,Middlesex Water Co.,1.0,,,Middlesex Water Co.
252,Midwest Energy Cooperative,1.0,,,
253,Minnesota Power,1.0,,,
254,Mission Springs Water District,1.0,,,Mission Springs Water District
255,Modern Electric Tattoo Company,1.0,,Modern Electric Tattoo Company,
256,Modern Electric Water Company,1.0,,Modern Electric Water Company,Modern Electric Water Company
257,Modesto Irrigation District,1.0,,,Modesto Irrigation District
258,Mohave Electric Cooperative,1.0,,Mohave Electric Cooperative,
259,Monroe County Electric,1.0,,Monroe County Electric,
260,Monte Vista Water District,1.0,,,Monte Vista Water District
261,Mountain Electric Co-Op,1.0,,Mountain Electric Co-Op,
262,Municipal Utilities,1.0,,,
263,Municipal Water District Of Orange County,1.0,,,Municipal Water District Of Orange County
264,Muscatine Power And Water,1.0,,,Muscatine Power And Water
265,National Grid,1.0,,,
266,Nebraska City Utilities,1.0,,,
267,New Braunfels Utilities,1.0,,,
268,New Hampshire Electric Cooperative,1.0,,New Hampshire Electric Cooperative,
269,New Jersey Natural Gas,1.0,New Jersey Natural Gas,,
270,New York Power Authority,1.0,,,
271,Newton County Water And Sewerage Authority,1.0,,,Newton County Water And Sewerage Authority
272,Nicor Gas,1.0,Nicor Gas,,
273,Nipomo Community Services District,1.0,,,
274,Nisource,1.0,,,
275,Noble Remc,1.0,,,
276,Nolin Rural Electric Cooperative,1.0,,Nolin Rural Electric Cooperative,
277,North Alamo Water Supply,1.0,,,North Alamo Water Supply
278,North Central Electric Cooperative,1.0,,North Central Electric Cooperative,
279,North Georgia Electric Membership Corporation,1.0,,North Georgia Electric Membership Corporation,
280,North Marin Water District,1.0,,,North Marin Water District
281,North Texas Water District,1.0,,,North Texas Water District
282,North Wales Water Authority,1.0,,,North Wales Water Authority
283,Northeast Ohio Regional Sewer District,1.0,,,Northeast Ohio Regional Sewer District
284,Northeast Utilities,1.0,,,
285,Northern Natural Gas,1.0,Northern Natural Gas,,
286,Northwest Natural Gas Co.,1.0,Northwest Natural Gas Co.,,
287,Norwich Public Utilities,1.0,,,
288,NRG Energy,1.0,,,
289,NV Energy,1.0,,,
290,Oakdale Irrigation District,1.0,,,Oakdale Irrigation District
291,Ocala Electric Utility,1.0,,Ocala Electric Utility,
292,Oconto Electric Cooperative,1.0,,Oconto Electric Cooperative,
293,Oglethorpe Power Corporation,1.0,,,
294,Oklahoma Electric Cooperative,1.0,,Oklahoma Electric Cooperative,
295,Olivehurst Public Utility,1.0,,,
296,On Site Gas Systems,1.0,On Site Gas Systems,,
297,One Shoreline Plaza,1.0,,,
298,Orlando Utilities Commission,1.0,,,
299,Osage Valley Electric Cooperative Ass'n,1.0,,Osage Valley Electric Cooperative Ass'n,
300,Otay Water District,1.0,,,Otay Water District
301,Owensboro Municipal Utilities,1.0,,,
302,Ozarks Electric Cooperative Corporation,1.0,,Ozarks Electric Cooperative Corporation,
303,Pacific Gas and Electric Company,1.0,Pacific Gas and Electric Company,Pacific Gas and Electric Company,
304,Padre Dam Municipal Water District,1.0,,,Padre Dam Municipal Water District
305,Paducah Power System,1.0,,,
306,Palmetto Electric Cooperative,1.0,,Palmetto Electric Cooperative,
307,Panola-Harrison Electric Cooperative,1.0,,Panola-Harrison Electric Cooperative,
308,Park Water,1.0,,,Park Water
309,Parker Water & Sanitation District,1.0,,,Parker Water & Sanitation District
310,Passaic Valley Water Commission,1.0,,,Passaic Valley Water Commission
311,Pea River Electric Coop,1.0,,Pea River Electric Coop,
312,Peace River Electric Cooperative,1.0,,Peace River Electric Cooperative,
313,Peak Power Solutions,1.0,,,
314,Pearl River Valley Electric Power Association,1.0,,Pearl River Valley Electric Power Association,
315,Peco Energy Co.,1.0,,,
316,Pee Dee Electric Cooperative,1.0,,Pee Dee Electric Cooperative,
317,Pennsylvania Rural Water Association,1.0,,,Pennsylvania Rural Water Association
318,Pennyrile Electric,1.0,,Pennyrile Electric,
319,Pepco,1.0,,,
320,Phil's Propane,1.0,,,
321,Pike Water,1.0,,,Pike Water
322,Pioneer Electric Cooperative,1.0,,Pioneer Electric Cooperative,
323,Placer County Water Agency,1.0,,,Placer County Water Agency
324,Port Washington Water District,1.0,,,Port Washington Water District
325,Portland Water District,1.0,,,Portland Water District
326,PPL,1.0,,,
327,Pse&G,1.0,,,
328,Public Utility District No 1 of Chelan County,1.0,,,
329,Public Utility District No 1 Of Skagit County,1.0,,,
330,Puget Sound Energy,1.0,,,
331,Questar Gas Company,1.0,Questar Gas Company,,
332,Rancho California Water District,1.0,,,Rancho California Water District
333,Randolph Electric Membership,1.0,,Randolph Electric Membership,
334,Ravalli County Electric Cooperative,1.0,,Ravalli County Electric Cooperative,
335,Reliant Energy,1.0,,,
336,Richmond Power & Light,1.0,,,
337,Rincon Del Diablo Municipal Water District,1.0,,,Rincon Del Diablo Municipal Water District
338,Riverside Air Service,1.0,,,
339,Rochelle Municipal Utilities,1.0,,,
340,Rockwood Electric Utility,1.0,,Rockwood Electric Utility,
341,Ross County Water Co.,1.0,,,Ross County Water Co.
342,Sacramento Suburban Water District,1.0,,,Sacramento Suburban Water District
343,Salt River Project,1.0,,,
344,San Antonio Water System,1.0,,,San Antonio Water System
345,San Diego Gas & Electric Co.,1.0,San Diego Gas & Electric Co.,San Diego Gas & Electric Co.,
346,San Gabriel Valley Water Company,1.0,,,San Gabriel Valley Water Company
347,San Juan Water District,1.0,,,San Juan Water District
348,San Leon Municipal Utility District,1.0,,,
349,San Patricio Electric Co-Op,1.0,,San Patricio Electric Co-Op,
350,Santa Clara Valley Water District,1.0,,,Santa Clara Valley Water District
351,Santa Margarita Water District,1.0,,,Santa Margarita Water District
352,Santee Cooper,1.0,,,
353,Santee Electric Cooperative,1.0,,Santee Electric Cooperative,
354,Sawnee Electric Membership,1.0,,Sawnee Electric Membership,
355,Scana Energy,1.0,,,
356,Schuylkill County Municipal Authority,1.0,,,
357,Semco Energy,1.0,,,
358,Serious Grip & Electric,1.0,,Serious Grip & Electric,
359,Sevier County Electric System,1.0,,Sevier County Electric System,
360,Shelby Energy Cooperative,1.0,,,
361,Signature Propane,1.0,,,
362,Singing River Electric,1.0,,Singing River Electric,
363,Slemco,1.0,,,
364,Somerset Rural Electric Cooperative,1.0,,Somerset Rural Electric Cooperative,
365,South Alabama Gas,1.0,South Alabama Gas,,
366,South Central Connecticut Regional Water Authority,1.0,,,South Central Connecticut Regional Water Authority
367,South Central Indiana Remc,1.0,,,
368,South Coast Gas Co.,1.0,South Coast Gas Co.,,
369,South Jersey Gas,1.0,South Jersey Gas,,
370,South Louisiana Electric Cooperative Association,1.0,,South Louisiana Electric Cooperative Association,
371,South River Electric Membership Corporation,1.0,,South River Electric Membership Corporation,
372,Southern California Edison,1.0,,,
373,Southern Nevada Water Auth,1.0,,,Southern Nevada Water Auth
374,Southern Pine Electric Power Association,1.0,,Southern Pine Electric Power Association,
375,Southern Pioneer Electric Company,1.0,,Southern Pioneer Electric Company,
376,Southside Electric Cooperative,1.0,,Southside Electric Cooperative,
377,Southwest Aquatics,1.0,,,
378,Southwest Arkansas Electric,1.0,,Southwest Arkansas Electric,
379,Southwest Electric Coop,1.0,,Southwest Electric Coop,
380,Southwest Gas,1.0,Southwest Gas,,
381,Southwest Regional Water Dist,1.0,,,Southwest Regional Water Dist
382,Southwest Tennessee Electric,1.0,,Southwest Tennessee Electric,
383,Springfield Utility Board,1.0,,,
384,Steiner Electric,1.0,,Steiner Electric,
385,Steiner Electric Company,1.0,,Steiner Electric Company,
386,Stonybrook Water Company,1.0,,,Stonybrook Water Company
387,Suburban Water Systems,1.0,,,Suburban Water Systems
388,Suffolk County Water Authority,1.0,,,Suffolk County Water Authority
389,Sumter Electric Cooperative,1.0,,Sumter Electric Cooperative,
390,Sumter Electric Membership Corporation,1.0,,Sumter Electric Membership Corporation,
391,Sunset Crossing,1.0,,,
392,Sweetwater Authority,1.0,,,Sweetwater Authority
393,T & M Enterprises,1.0,,,
394,Tart Charles Propane,1.0,,,
395,Taylor Electric Cooperative,1.0,,Taylor Electric Cooperative,
396,Tennessee Valley Electric Cooperative,1.0,,Tennessee Valley Electric Cooperative,
397,Texarkana Water Utilities,1.0,,,Texarkana Water Utilities
398,Texas Gas Service,1.0,Texas Gas Service,,
399,The Great Western Power Company,1.0,,,
400,The Little Guys,1.0,,,
401,Thomasville Utilities,1.0,,,
402,Tiger Natural Gas,1.0,Tiger Natural Gas,,
403,Toledo Edison Company,1.0,,,
404,Trabuco Canyon Water District,1.0,,,Trabuco Canyon Water District
405,Trico Electric Cooperative,1.0,,Trico Electric Cooperative,
406,Tri-Co Propane,1.0,,,
407,Tri-County EMC,1.0,,,
408,Tucson Water,1.0,,,Tucson Water
409,Tulsa Gas Technologies,1.0,Tulsa Gas Technologies,,
410,Turlock Irrigation District,1.0,,,Turlock Irrigation District
411,Union Power Cooperative,1.0,,,
412,United Electric Co-Op,1.0,,United Electric Co-Op,
413,United Power,1.0,,,
414,United Water Delaware,1.0,,,United Water Delaware
415,United Water New Rochelle,1.0,,,United Water New Rochelle
416,Upshur Rural Electric,1.0,,Upshur Rural Electric,
417,Utilities,1.0,,,
418,Valley County Water District,1.0,,,Valley County Water District
419,Vera Water and Power,1.0,,,Vera Water and Power
420,Verdigris Valley Electric Cooperative,1.0,,Verdigris Valley Electric Cooperative,
421,Vermont Gas Systems,1.0,Vermont Gas Systems,,
422,Vista Irrigation District,1.0,,,Vista Irrigation District
423,Walnut Valley Water District,1.0,,,Walnut Valley Water District
424,Walton Electric Membership Corporation,1.0,,Walton Electric Membership Corporation,
425,Walton Emc,1.0,,,
426,Ward Leonard Electric Co.,1.0,,Ward Leonard Electric Co.,
427,Warren County Remc,1.0,,,
428,Warren Electric Cooperative,1.0,,Warren Electric Cooperative,
429,Warren Rural Electric Cooperative,1.0,,Warren Rural Electric Cooperative,
430,Washington Gas,1.0,Washington Gas,,
431,Water Replenishment District,1.0,,,Water Replenishment District
432,Water Works,1.0,,,Water Works
433,Weber Basin Water Conservancy District,1.0,,,Weber Basin Water Conservancy District
434,Wellborn Community Center,1.0,,,
435,Wesson Energy,1.0,,,
436,West River Electric Association,1.0,,West River Electric Association,
437,West Texas Gas,1.0,West Texas Gas,,
438,West Valley Water District,1.0,,,West Valley Water District
439,Westar Energy,1.0,,,
440,Western Municipal Water District,1.0,,,Western Municipal Water District
441,Western Water Works,1.0,,,Western Water Works
442,Westfield Gas & Electric,1.0,Westfield Gas & Electric,Westfield Gas & Electric,
443,Wheatland Elect Co Op,1.0,,Wheatland Elect Co Op,
444,White House Utility District,1.0,,,
445,White Mountain Apache Tribe,1.0,,,
446,White Water,1.0,,,White Water
447,Williamsport Municipal Water Authority,1.0,,,Williamsport Municipal Water Authority
448,Withlacoochee River Electric,1.0,,Withlacoochee River Electric,
449,Withlacoochee River Electric Cooperative,1.0,,Withlacoochee River Electric Cooperative,
450,Wood County Electric Co-Op,1.0,,Wood County Electric Co-Op,
451,Wst Electric,1.0,,Wst Electric,
452,Yazoo Valley Electric Power,1.0,,Yazoo Valley Electric Power,
453,Yellowstone Valley Electric Cooperative,1.0,,Yellowstone Valley Electric Cooperative,
454,York County Natural Gas Authority,1.0,York County Natural Gas Authority,,
455,Y-W Electric Association,1.0,,Y-W Electric Association,
456,1st Choice Electrical & Security,0.9,,1st Choice Electrical & Security,
457,1st Light Energy,0.9,,,
458,A County Propane Co,0.9,,,
459,A.P. Electric & Generators,0.9,,A.P. Electric & Generators,
460,Abbott Gas Co,0.9,Abbott Gas Co,,
461,Abingdon Gas & Appliance Co.,0.9,Abingdon Gas & Appliance Co.,,
462,Accent Electrical Services,0.9,,Accent Electrical Services,
463,Access Midstream,0.9,,,
464,Adams County Regional Water,0.9,,,Adams County Regional Water
465,Adams Electric Cooperative,0.9,,Adams Electric Cooperative,
466,Adams Rural Electric,0.9,,Adams Rural Electric,
467,Adams-Columbia Electric Cooperative,0.9,,Adams-Columbia Electric Cooperative,
468,Advanced Water Systems,0.9,,,Advanced Water Systems
469,Affordable Gas,0.9,Affordable Gas,,
470,Agl Resources,0.9,,,
471,Agralite Electric Cooperative,0.9,,Agralite Electric Cooperative,
472,Aha Macav Power Service,0.9,,,
473,Aiken Electric Cooperative,0.9,,Aiken Electric Cooperative,
474,AKA Services,0.9,,,
475,Alabama Natural Gas Association,0.9,Alabama Natural Gas Association,,
476,Alabama Power Company,0.9,,,
477,Alagasco,0.9,Alagasco,,
478,Alameda County Water District,0.9,,,Alameda County Water District
479,Alaska Village Electric Co-Op,0.9,,Alaska Village Electric Co-Op,
480,Albemarle County Service Authority,0.9,,,
481,Albemarle Electric Membership,0.9,,Albemarle Electric Membership,
482,Alderwood Water District,0.9,,,Alderwood Water District
483,Aldon Electric,0.9,,Aldon Electric,
484,Alexander Contract Service,0.9,,,
485,Algona Municipal Utilities,0.9,,,
486,Allamakee Clayton Electric Cooperative Rec,0.9,,Allamakee Clayton Electric Cooperative Rec,
487,Alpena Power Company,0.9,,,
488,Alpine Water Systems,0.9,,,Alpine Water Systems
489,Alstom Power,0.9,,,
490,Altamaha Electric Membership Corporation,0.9,,Altamaha Electric Membership Corporation,
491,Amador Water Agency,0.9,,,Amador Water Agency
492,Ambit Energy,0.9,,,
493,Ameren Energy,0.9,,,
494,Ameren Services,0.9,,,
495,Ameresco,0.9,,,
496,American Electric Power,0.9,,American Electric Power,
497,American Gases,0.9,American Gases,,
498,American River Gas Co,0.9,American River Gas Co,,
499,American Water Services,0.9,,,American Water Services
500,Amerline Enterprises Co.,0.9,,,
501,Amigo Energy,0.9,,,
502,Anza Electric Co Op,0.9,,Anza Electric Co Op,
503,Appalachian Electric Cooperative,0.9,,Appalachian Electric Cooperative,
504,Apple Valley Ranchos Water Company,0.9,,,Apple Valley Ranchos Water Company
505,Aps,0.9,,,
506,Aqua Illinois,0.9,,,
507,Aqua Master,0.9,,,
508,Arab Water Works,0.9,,,Arab Water Works
509,Arizona Electric Power Co-Op,0.9,,Arizona Electric Power Co-Op,
510,Arizona Water Company,0.9,,,Arizona Water Company
511,Arizona Water Resources Department,0.9,,,Arizona Water Resources Department
512,Arkansas Electric,0.9,,Arkansas Electric,
513,Arkansas Oklahoma Gas Corporation,0.9,Arkansas Oklahoma Gas Corporation,,
514,Arundel Water Conditioning,0.9,,,Arundel Water Conditioning
515,Associated Electric Cooperative,0.9,,Associated Electric Cooperative,
516,Atchison-Holt Electric Co-Op,0.9,,Atchison-Holt Electric Co-Op,
517,A-tec Energy,0.9,,,
518,Athens Utilities,0.9,,,
